word,sense,a_estimate,ci_lower,ci_upper,ci_width,sig_non_zero,r_sq_LO,freml_LO,dev_exp_LO,r_sq_2D,freml_2D,dev_exp_2D,overall_word_freq,cluster_substitution_total,l2_distance_normalized,peak_year
folders,6,0.5063,-0.3908,1.4035,1.7943,False,0.793,639.57,0.865,0.792,636.59,0.866,366,889,0.04949995029114983,1957
workshops,7,0.0015,-0.0046,0.0076,0.012199999999999999,False,0.799,6060.4,0.863,0.799,6060.1,0.863,3446,12301,0.023358186305195944,2010
workshops,0,0.1471,0.1401,0.1542,0.014100000000000001,True,0.806,5546.3,0.852,0.806,5545.4,0.852,3446,8515,0.019466273953442984,1904
drives,1,-0.0559,-0.0603,-0.0515,0.008800000000000002,True,0.416,20916.0,0.6890000000000001,0.417,20912.0,0.6890000000000001,7339,34309,0.06268710173002356,1873
drives,4,0.0085,0.0046,0.0124,0.0078,True,0.562,18032.0,0.745,0.563,18030.0,0.745,7339,16117,0.06704556731747174,1956
summit,7,0.1769,0.1719,0.1819,0.010000000000000009,True,0.403,33135.0,0.546,0.403,33164.0,0.545,19580,64145,0.01420283641948675,2010
summit,1,0.1311,0.1292,0.1329,0.003699999999999981,True,0.437,36478.0,0.568,0.435,36545.0,0.568,19580,45777,0.342425222511253,1962
summit,2,-0.0521,-0.0554,-0.0489,0.006499999999999999,True,0.593,27778.0,0.64,0.593,27776.0,0.64,19580,24982,0.024213183072335505,1900
background,4,0.2592,0.2516,0.2667,0.015100000000000002,True,0.289,66971.0,0.40700000000000003,0.289,66972.0,0.40700000000000003,39501,29820,0.05409652660559842,1900
stewards,5,0.0853,0.07,0.1006,0.03059999999999999,True,0.585,4676.3,0.726,0.585,4676.3,0.726,2512,9703,0.0024156811594772216,2010
stewards,0,-0.0291,-0.0358,-0.0223,0.013499999999999998,True,0.598,4097.0,0.6559999999999999,0.597,4105.5,0.6579999999999999,2512,4598,0.4432647764219612,1907
stewards,14,0.2034,0.1916,0.2151,0.02350000000000002,True,0.8,2675.4,0.831,0.8,2672.8,0.831,2512,729,0.03545527001786064,1874
stewards,3,0.0901,0.0843,0.0959,0.0116,True,0.752,3599.6,0.7959999999999999,0.751,3602.4,0.7959999999999999,2512,1799,0.6907133740050925,1926
organ,5,0.1921,0.1887,0.1954,0.006699999999999984,True,0.865,14904.0,0.888,0.865,14917.0,0.889,11090,36263,0.013452543440061452,2010
organ,0,-0.1319,-0.1359,-0.1279,0.00799999999999998,True,0.635,20922.0,0.794,0.628,21079.0,0.794,11090,30079,0.8134500213692175,1890
tending,0,0.1992,0.1841,0.2142,0.030099999999999988,True,0.545,11246.0,0.78,0.544,11248.0,0.78,4143,22887,0.012277324359658398,1939
needle,11,-0.0375,-0.0401,-0.035,0.005099999999999993,True,0.515,4842.1,0.7240000000000001,0.51,4855.4,0.725,3459,8217,0.26100630392528107,2000
coaches,0,-0.0739,-0.0814,-0.0665,0.014899999999999997,True,0.595,5406.4,0.76,0.595,5404.6,0.76,3303,13714,0.018116696447324384,2010
coaches,1,0.0395,0.0327,0.0462,0.013499999999999998,True,0.883,4150.4,0.888,0.883,4148.0,0.888,3303,4285,0.04080283761331814,1902
particle,4,0.3617,0.3553,0.3682,0.012900000000000023,True,0.401,10058.0,0.605,0.399,10078.0,0.606,4926,12381,0.13819598666328906,1939
particle,2,0.3794,0.3696,0.3893,0.019699999999999995,True,0.419,9908.6,0.606,0.418,9915.6,0.606,4926,14789,0.05535069672951181,1873
particle,8,0.1322,0.1192,0.1453,0.026100000000000012,True,0.948,6035.5,0.925,0.949,6036.8,0.925,4926,4401,0.15414437813626522,1990
sterling,1,0.3501,0.3465,0.3538,0.007300000000000029,True,0.738,15325.0,0.845,0.738,15334.0,0.845,7520,22894,1.27295842164377,2000
sterling,5,0.1319,0.1283,0.1355,0.007200000000000012,True,0.695,13800.0,0.8140000000000001,0.692,13852.0,0.8140000000000001,7520,14687,0.8517270375212247,1918
fixation,0,0.4805,0.152,0.809,0.657,True,0.745,1676.4,0.84,0.745,1672.0,0.84,875,3274,0.10884903628789214,1915
cap,5,0.1492,0.1471,0.1512,0.0040999999999999925,True,0.499,1.1316,0.595,0.497,1.1357,0.595,48848,171730,0.11988016216864542,1991
masters,2,0.154,0.1509,0.1571,0.006199999999999983,True,0.673,25989.0,0.79,0.673,26004.0,0.7909999999999999,11018,34942,0.01618412514656192,2010
indexed,0,0.2152,0.2107,0.2198,0.009099999999999997,True,0.547,4580.8,0.711,0.547,4576.8,0.711,2486,5485,0.05400424873308174,2010
indexed,3,-0.0285,-0.033,-0.0239,0.0091,True,0.5,5376.7,0.705,0.5,5372.1,0.706,2486,8224,0.25821284498544633,1903
powerhouse,1,0.2419,-0.0673,0.5511,0.6184000000000001,False,0.772,1678.1,0.86,0.771,1675.6,0.86,912,2295,0.15827845113207992,1945
powerhouse,0,0.0357,-0.1582,0.2296,0.38780000000000003,False,0.798,1472.3,0.868,0.795,1474.1,0.868,912,1225,0.9208274306886971,1890
powerhouse,7,-0.2304,-0.6027,0.1418,0.7445,False,0.777,1396.4,0.84,0.774,1399.1,0.84,912,801,0.7195275456035899,1909
forensic,2,0.3682,0.0054,0.7309,0.7255,True,0.77,2253.5,0.843,0.77,2251.0,0.843,1552,2846,0.06908555545783762,1915
satellite,3,-0.046,-0.048,-0.0439,0.0040999999999999995,True,0.48,31422.0,0.626,0.478,31472.0,0.625,19905,51800,0.9106438144680115,1876
satellite,4,-0.0852,-0.0907,-0.0798,0.010900000000000007,True,0.547,26611.0,0.665,0.545,26669.0,0.665,19905,45302,0.903047335232682,1998
satellite,5,-0.0529,-0.0553,-0.0505,0.004799999999999999,True,0.506,33787.0,0.623,0.503,33912.0,0.622,19905,53424,0.8846027235314139,1950
satellite,0,-0.1323,-0.1367,-0.128,0.008699999999999986,True,0.46,22737.0,0.607,0.46,22740.0,0.608,19905,13804,0.06297242518869828,1900
clearance,3,-0.0337,-0.0366,-0.0308,0.0058,True,0.771,14988.0,0.826,0.771,14991.0,0.826,8968,21497,0.08550497873576089,1944
clearance,1,-0.0238,-0.0282,-0.0194,0.008799999999999999,True,0.558,13809.0,0.71,0.558,13806.0,0.71,8968,10681,0.031214260078371456,1874
innovation,3,0.0819,0.0788,0.085,0.006200000000000011,True,0.319,33952.0,0.483,0.318,33959.0,0.484,18791,72628,0.00567289293135521,2001
innovation,0,0.1677,0.1645,0.1708,0.0063,True,0.655,31549.0,0.6859999999999999,0.655,31573.0,0.687,18791,41575,0.012380164079225693,1890
validation,0,-0.3117,-0.9371,0.3137,1.2508,False,0.704,1687.8,0.826,0.707,1680.6,0.825,898,2206,0.2788087947345266,1884
match,6,-0.0288,-0.0317,-0.0259,0.0058,True,0.397,64553.0,0.589,0.397,64555.0,0.589,21596,126765,0.010110453511838032,1964
match,9,0.1649,0.1586,0.1711,0.012500000000000011,True,0.745,30257.0,0.7879999999999999,0.745,30226.0,0.7879999999999999,21596,12381,0.36311034611749593,1901
hybrid,13,0.0436,0.0367,0.0506,0.013899999999999996,True,0.727,5242.0,0.818,0.725,5261.0,0.818,3432,11409,0.09047356370024459,2010
package,0,0.2587,0.2563,0.2611,0.0048000000000000265,True,0.274,1.4944,0.358,0.273,1.4949,0.358,96240,378325,0.023242357084781253,2010
package,1,0.2216,0.219,0.2243,0.005299999999999999,True,0.477,1.4392,0.478,0.477,1.4393,0.478,96240,190943,0.0073543311081894,1930
